
EUR000TODTOM,D,20150305,0.0296,0.0299,0.029,0.029,1583000000
EURRUB_SPT,D,20150305,,,,,
EURRUB_TOM1M,D,20150305,,,,,
EURRUB_TOM1W,D,20150305,,,,,
EURRUB_TOM2W,D,20150305,0.4062,0.4062,0.4062,0.4062,2100000
EURUSD000TOD,D,20150305,1.1039,1.10595,1.1038,1.10505,1955000
EURUSD000TOM,D,20150305,1.1035,1.11115,1.0997,1.10285,50755000
EURUSDTODTOM,D,20150305,0.000009,0.000012,0.000001,0.000006,134000000
EUR_RUB__TOD,D,20150305,68.45,68.475,67.85,67.94,287758000
EUR_RUB__TOM,D,20150305,68.361,68.499,66.821,67.041,262410000
GBPRUB_TOM,D,20150305,94.3,94.36,92.5,92.5,240000
HKDRUB_TOM,D,20150305,7.91,7.91,7.91,7.91,59000
KZT000000TOM,D,20150305,,,,,
USD000000TOD,D,20150305,61.96,62.06,60.622,60.85,793071000
USD000TODTOM,D,20150305,0.0269,0.0273,0.026,0.0273,6155300000
USD000UTSTOM,D,20150305,62.01,62.076,60.451,60.821,2634599000
USDRUB_SPT,D,20150305,61.945,61.95,61.88,61.88,1600000
USDRUB_TOM1D,D,20150305,,,,,
USDRUB_TOM1M,D,20150305,0.7514,0.76,0.75,0.76,32600000
USDRUB_TOM1W,D,20150305,0.1745,0.178,0.173,0.178,90000000
USDRUB_TOM1Y,D,20150305,,,,,
USDRUB_TOM2M,D,20150305,,,,,
USDRUB_TOM2W,D,20150305,0.3475,0.3484,0.347,0.3484,11000000
USDRUB_TOM3M,D,20150305,,,,,
USDRUB_TOM6M,D,20150305,3.95,3.95,3.88,3.88,3000000
USDRUB_TOM9M,D,20150305,,,,,
BYRRUB_TOD,D,20150306,40.5,40.5,40.5,40.5,804000000
BYRRUB_TOM,D,20150306,,,,,
CNY000000TOD,D,20150306,9.6,9.6055,9.5432,9.5432,4244000
CNYRUBTODTOM,D,20150306,0.011722,0.013056,0.0115,0.013,2300000
CNYRUB_TOM,D,20150306,9.593,9.6116,9.4527,9.5,116694000
CNYRUB_TOM1D,D,20150306,0.003,0.00373,0.0028,0.00373,125700000
EUR000TODTOM,D,20150306,0.115,0.115,0.1054,0.1128,1756500000
EURRUB_SPT,D,20150306,65.326,65.326,65.326,65.326,100000
EURRUB_TOM1M,D,20150306,,,,,
EURRUB_TOM1W,D,20150306,,,,,
EURRUB_TOM2W,D,20150306,,,,,
EURUSD000TOD,D,20150306,1.102,1.1025,1.0949,1.0951,10838000
EURUSD000TOM,D,20150306,1.10185,1.1025,1.0844,1.0851,159467000
EURUSDTODTOM,D,20150306,0.000009,0.000039,0.000006,0.000024,193700000
EUR_RUB__TOD,D,20150306,66.422,66.422,65.01,65.059,330493000
EUR_RUB__TOM,D,20150306,66.91,66.91,64.881,65.478,304216000
GBPRUB_TOM,D,20150306,91.3,91.3,90.4,90.4,66000
HKDRUB_TOM,D,20150306,7.695,7.695,7.695,7.695,500000
KZT000000TOM,D,20150306,,,,,
